,site,month,day,dist,date,time,signal,taxarich,abundance,eptnum,eptrich
1,up1,Feb,1,0,25-02-14,1,5.102564103,23,1327,590,9
2,up2,Feb,1,8.7,25-02-14,1,5.043478261,20,912,1410,8
3,up3,Feb,1,10.4,25-02-14,1,4.763888889,22,759,1610,11
4,up4,Feb,1,10.77,25-02-14,1,5.281553398,26,2963,616,8
5,ds1,Feb,1,11.03,25-02-14,1,4.833333333,26,937,155,10
6,ds2,Feb,1,11.53,25-02-14,1,5.275862069,25,2334,469,7
7,ds3,Feb,1,15.13,25-02-14,1,5.13,27,2590,584,8
8,ds4,Feb,1,21.23,25-02-14,1,4.486486486,22,852,1505,11
9,up1,May,92,0,28-05-14,2,4.722222222,26,388,132,10
10,up2,May,92,8.7,28-05-14,2,5.053571429,21,240,131,11
11,up3,May,92,10.4,28-05-14,2,4.6875,20,487,255,9
12,up4,May,92,10.77,28-05-14,2,4.269230769,21,278,84,7
13,ds1,May,92,11.03,28-05-14,2,3.444444444,6,15,3,2
14,ds2,May,92,11.53,28-05-14,2,4.5,21,276,88,8
15,ds3,May,92,15.13,28-05-14,2,5.032258065,20,569,254,7
16,ds4,May,92,21.23,28-05-14,2,4.830188679,22,414,281,9
17,up1,Sep,210,0,22-09-14,3,5.854545455,20,294,201,8
18,up2,Sep,210,8.7,22-09-14,3,4.869565217,21,299,40,7
19,up3,Sep,210,10.4,22-09-14,3,5.066666667,16,244,105,9
20,up4,Sep,210,10.77,22-09-14,3,5.125,18,179,43,10
21,ds1,Sep,210,11.03,22-09-14,3,5.047619048,21,429,59,11
22,ds2,Sep,210,11.53,22-09-14,3,5.30952381,18,251,65,9
23,ds3,Sep,210,15.13,22-09-14,3,5.22,18,374,134,9
24,ds4,Sep,210,21.23,22-09-14,3,4.78125,17,214,30,6
25,up1,Dec,283,0,04-12-14,4,5.18,27,683,289,13
26,up2,Dec,283,8.7,04-12-14,4,5.36,24,1861,1569,13
27,up3,Dec,283,10.4,04-12-14,4,5.252631579,25,784,411,12
28,up4,Dec,283,10.77,04-12-14,4,5.128205128,24,995,750,12
29,ds1,Dec,283,11.03,04-12-14,4,4.93,25,809,467,12
30,ds2,Dec,283,11.53,04-12-14,4,5.4125,23,915,500,13
31,ds3,Dec,283,15.13,04-12-14,4,5.6,25,2305,1672,12
32,ds4,Dec,283,21.23,04-12-14,4,4.543859649,20,1499,1010,7
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
